customer_code,customer_name,market,total_sold_qty,total_forecast_qty,net_error,net_error_pct,abs_error,abs_error_pct,forecast_accuracy
90013120,Coolblue,Italy,109547,133532,23985,18.0,70467,52.77,47.23
70010048,"Atliq e Store",Bangladesh,119439,142010,22571,15.9,75711,53.31,46.69
90023027,Costco,Canada,236189,279962,43773,15.6,149303,53.33,46.67
90023026,Relief,Canada,228988,273492,44504,16.3,146948,53.73,46.27
90017051,"Forward Stores",Portugal,86823,118067,31244,26.5,63568,53.84,46.16
90017058,Mbit,Portugal,86860,110195,23335,21.2,59473,53.97,46.03
90023028,walmart,Canada,239081,283323,44242,15.6,153058,54.02,45.98
90023024,Sage,Canada,246397,287233,40836,14.2,155610,54.18,45.82
90015146,Mbit,Norway,147152,210507,63355,30.1,114189,54.24,45.76
90013124,"Amazon ",Italy,110898,136116,25218,18.5,73826,54.24,45.76
90017054,"Flawless Stores",Portugal,84371,114698,30327,26.4,62483,54.48,45.52
70027208,"Atliq e Store",Brazil,33713,47321,13608,28.8,25784,54.49,45.51
90015147,Chiptec,Norway,154897,223867,68970,30.8,122100,54.54,45.46
80001019,Neptune,China,1113979,1275248,161269,12.6,695779,54.56,45.44
90015144,Sound,Norway,160074,225637,65563,29.1,123257,54.63,45.37
90009130,"Logic Stores",Newzealand,103290,110175,6885,6.2,60225,54.66,45.34
90015149,UniEuro,Norway,142086,212500,70414,33.1,116172,54.67,45.33
90021088,Electricalslytical,"United Kingdom",224350,323689,99339,30.7,176975,54.67,45.33
90017050,"Electricalsara Stores",Portugal,85272,114688,29416,25.6,62760,54.72,45.28
70013125,"Atliq Exclusive",Italy,101658,123428,21770,17.6,67546,54.73,45.27
90021094,Coolblue,"United Kingdom",208512,301367,92855,30.8,165043,54.76,45.24
70009134,"Atliq e Store",Newzealand,103747,110791,7044,6.4,60726,54.81,45.19
90013118,Fnac-Darty,Italy,101847,126289,24442,19.4,69242,54.83,45.17
70023031,"Atliq Exclusive",Canada,234114,286297,52183,18.2,157171,54.90,45.10
90023025,"Premium Stores",Canada,220808,266351,45543,17.1,146235,54.90,45.10
70017060,"Atliq e Store",Portugal,89925,120744,30819,25.5,66285,54.90,45.10
90013122,"Radio Popular",Italy,100746,123516,22770,18.4,67822,54.91,45.09
90017053,"Info Stores",Portugal,84149,111740,27591,24.7,61373,54.92,45.08
90017059,"Amazon ",Portugal,87828,114154,26326,23.1,62720,54.94,45.06
90002007,Girias,India,746226,778757,32531,4.2,427909,54.95,45.05
90023022,"Nomad Stores",Canada,225182,264886,39704,15.0,145544,54.95,45.05
90001021,Taobao,China,259715,297960,38245,12.8,163923,55.02,44.98
90017049,"Premium Stores",Portugal,82557,112228,29671,26.4,61825,55.09,44.91
90017052,Power,Portugal,88498,121705,33207,27.3,67149,55.17,44.83
90015148,Boulanger,Norway,160192,220107,59915,27.2,121545,55.22,44.78
90013123,Expert,Italy,103752,129491,25739,19.9,71533,55.24,44.76
90017056,Sorefoz,Portugal,88606,120208,31602,26.3,66408,55.24,44.76
90013119,"Argos (Sainsbury's)",Italy,104824,130639,25815,19.8,72241,55.30,44.70
90017055,"Electricalslance Stores",Portugal,88219,120089,31870,26.5,66428,55.32,44.68
90002012,Electricalsocity,India,749889,792439,42550,5.4,438508,55.34,44.66
90013116,"Unity Stores",Italy,109113,134044,24931,18.6,74251,55.39,44.61
90021087,"Logic Stores","United Kingdom",211131,319727,108596,34.0,177210,55.43,44.57
90021095,"Amazon ","United Kingdom",219009,314310,95301,30.3,174357,55.47,44.53
90021093,"Chip 7","United Kingdom",204913,296243,91330,30.8,164418,55.50,44.50
90021086,"Electricalsquipo Stores","United Kingdom",210548,298342,87794,29.4,165718,55.55,44.45
90021090,"Radio Popular","United Kingdom",209910,297954,88044,29.5,165738,55.63,44.37
90025209,"Electricalsbea Stores",Columbia,13178,15428,2250,14.6,8582,55.63,44.37
90002001,"Reliance Digital",India,695430,723756,28326,3.9,402842,55.66,44.34
90002010,Ebay,India,711794,732173,20379,2.8,407849,55.70,44.30
70015152,"Atliq e Store",Norway,158481,223475,64994,29.1,124698,55.80,44.20
90001020,Zone,China,289006,317484,28478,9.0,177384,55.87,44.13
90009127,"Epic Stores",Newzealand,105176,113751,8575,7.5,63569,55.88,44.12
90002003,Ezone,India,736363,763239,26876,3.5,426568,55.89,44.11
90027207,"Amazon ",Brazil,32354,44608,12254,27.5,24994,56.03,43.97
90021089,"Atlas Stores","United Kingdom",205601,304342,98741,32.4,170577,56.05,43.95
90009131,Path,Newzealand,106222,115297,9075,7.9,64637,56.06,43.94
90009132,"Amazon ",Newzealand,108371,115999,7628,6.6,65044,56.07,43.93
70010047,"Atliq Exclusive",Bangladesh,116158,134945,18787,13.9,75769,56.15,43.85
90015150,"Amazon ",Norway,146165,209437,63272,30.2,117634,56.17,43.83
